scenario,route,width,repeat,cards,rows,eventToDomMs,lastListResponseToDomMs,lastListJsonToDomMs,matchDomNodes,listRawBytes,listGzipBytes
typical,all,390,0,12,24,159.39999999850988,26.200000002980232,15.399999998509884,226,84137,3972
typical,filtered,390,0,1,1,126.39999999850988,8.399999998509884,4.399999998509884,23,7140,882
typical,history,390,0,1,1,126.19999999552965,6.299999997019768,3.2999999970197678,23,7140,882
typical,filtered,390,1,1,1,125.20000000298023,8.399999998509884,4.200000002980232,23,7140,882
typical,history,390,1,1,1,126,7.700000002980232,3.399999998509884,23,7140,882
typical,all,390,1,12,24,146,18.5,14.799999997019768,226,84137,3972
typical,history,390,2,1,1,124.5,7.399999998509884,3.7999999970197678,23,7140,882
typical,all,390,2,12,24,158.19999999552965,26.399999998509884,14.5,226,84137,3972
typical,filtered,390,2,1,1,125.29999999701977,6.199999995529652,3.399999998509884,23,7140,882
populated,all,320,0,72,48,279.29999999701977,56.100000001490116,30.5,832,504591,21491
populated,filtered,320,0,3,1,145.39999999850988,9.799999997019768,3.100000001490116,45,21420,2646
populated,history,320,0,3,1,140.70000000298023,9.399999998509884,4.100000001490116,45,21420,2646
populated,filtered,320,1,3,1,140.60000000149012,9.399999998509884,3.7999999970197678,45,21420,2646
populated,history,320,1,3,1,146.5,8.5,2.5,45,21420,2646
populated,all,320,1,72,48,274.69999999552965,52.899999998509884,29.599999994039536,832,504591,21491
populated,history,320,2,3,1,154.10000000149012,15.300000004470348,7.399999998509884,45,21420,2646
populated,all,320,2,72,48,285.79999999701977,62.100000001490116,29.600000001490116,832,504591,21491
populated,filtered,320,2,3,1,145.80000000447035,9,2.600000001490116,45,21420,2646
populated,all,390,0,72,48,287.29999999701977,62,29.5,832,504591,21491
populated,filtered,390,0,3,1,140.09999999403954,8,2.5999999940395355,45,21420,2646
populated,history,390,0,3,1,140.5,8.200000002980232,3.100000001490116,45,21420,2646
populated,filtered,390,1,3,1,145.89999999850988,10,3.6999999955296516,45,21420,2646
populated,history,390,1,3,1,144.20000000298023,8.700000002980232,3.2000000029802322,45,21420,2646
populated,all,390,1,72,48,279.70000000298023,59.5,32.399999998509884,832,504591,21491
populated,history,390,2,3,1,142.10000000149012,9.299999997019768,4,45,21420,2646
populated,all,390,2,72,48,291,67.69999999552965,33.099999994039536,832,504591,21491
populated,filtered,390,2,3,1,140.69999999552965,9.399999998509884,3.7999999970197678,45,21420,2646
populated,all,1280,0,72,48,290.5,66.5,32.600000001490116,832,504591,21491
populated,filtered,1280,0,3,1,141.80000000447035,8.100000001490116,2.9000000059604645,45,21420,2646
populated,history,1280,0,3,1,143,9.5,3,45,21420,2646
populated,filtered,1280,1,3,1,145.90000000596046,8.400000005960464,2.8000000044703484,45,21420,2646
populated,history,1280,1,3,1,142.29999999701977,10.299999997019768,2.2999999970197678,45,21420,2646
populated,all,1280,1,72,48,292.1000000014901,67.5,32,832,504591,21491
populated,history,1280,2,3,1,142.10000000149012,8.100000001490116,2.7000000029802322,45,21420,2646
populated,all,1280,2,72,48,288.6000000014901,61.79999999701977,28.299999997019768,832,504591,21491
populated,filtered,1280,2,3,1,144.60000000149012,8.699999995529652,2.6999999955296516,45,21420,2646
restricted-final,all,390,0,72,48,243.40000000596046,37.400000005960464,16.700000002980232,760,426714,18384
restricted-final,filtered,390,0,3,1,140.70000000298023,8.5,3.600000001490116,42,18178,2436
restricted-final,history,390,0,3,1,141.10000000149012,9,2.100000001490116,42,18178,2436
restricted-final,filtered,390,1,3,1,143.20000000298023,6.700000002980232,2.3000000044703484,42,18178,2436
restricted-final,history,390,1,3,1,140.89999999850988,7.199999995529652,2.899999998509884,42,18178,2436
restricted-final,all,390,1,72,48,244,35.599999994039536,17.099999994039536,760,426714,18384
restricted-final,history,390,2,3,1,144.29999999701977,8.299999997019768,2.0999999940395355,42,18178,2436
restricted-final,all,390,2,72,48,256.90000000596046,46.900000005960464,24,760,426714,18384
restricted-final,filtered,390,2,3,1,140.5,7.600000001490116,2.3000000044703484,42,18178,2436
stress,all,390,0,300,200,760.2000000029802,206.20000000298023,85.5,3416,2102034,81445
stress,filtered,390,0,3,1,157.70000000298023,21.200000002980232,15.400000005960464,45,21420,2646
stress,history,390,0,3,1,163.20000000298023,12.400000005960464,2.600000001490116,45,21420,2646
stress,filtered,390,1,3,1,161,21.200000002980232,15.5,45,21420,2646
stress,history,390,1,3,1,161,18.399999998509884,16,45,21420,2646
stress,all,390,1,300,200,772.8000000044703,215.20000000298023,89.70000000298023,3416,2102034,81445
stress,history,390,2,3,1,152.70000000298023,12.400000005960464,7.200000002980232,45,21420,2646
stress,all,390,2,300,200,770.6000000014901,209.89999999850988,87.70000000298023,3416,2102034,81445
stress,filtered,390,2,3,1,162,14.399999998509884,2.899999998509884,45,21420,2646
