scenario,route,width,repeat,cards,rows,eventToDomMs,lastListResponseToDomMs,lastListJsonToDomMs,matchDomNodes,listRawBytes,listGzipBytes
typical,all,390,0,12,24,145.19999999552965,17,13.199999995529652,226,84137,3972
typical,filtered,390,0,1,1,144.90000000596046,14.5,10.300000004470348,23,84137,3972
typical,history,390,0,1,1,142.59999999403954,13.299999997019768,9.599999994039536,23,84137,3972
typical,filtered,390,1,1,1,148,14.600000001490116,10.399999998509884,23,84137,3972
typical,history,390,1,1,1,146.30000000447035,14.100000001490116,9.300000004470348,23,84137,3972
typical,all,390,1,12,24,145.79999999701977,16.700000002980232,12.799999997019768,226,84137,3972
typical,history,390,2,1,1,146.89999999850988,12.299999997019768,8.299999997019768,23,84137,3972
typical,all,390,2,12,24,156.10000000149012,21.200000002980232,13.300000004470348,226,84137,3972
typical,filtered,390,2,1,1,144.90000000596046,12,8.700000002980232,23,84137,3972
populated,all,320,0,72,48,284.5,63.399999998509884,28.700000002980232,832,504591,21491
populated,filtered,320,0,3,1,268.8999999985099,46.29999999701977,19.69999999552965,45,504591,21491
populated,history,320,0,3,1,262.59999999403954,42,16.19999999552965,45,504591,21491
populated,filtered,320,1,3,1,265.3999999985099,39.099999994039536,17.599999994039536,45,504591,21491
populated,history,320,1,3,1,270.5,47.29999999701977,20.19999999552965,45,504591,21491
populated,all,320,1,72,48,281.1000000014901,58,28.200000002980232,832,504591,21491
populated,history,320,2,3,1,266.5,41.20000000298023,15.300000004470348,45,504591,21491
populated,all,320,2,72,48,289.29999999701977,65.20000000298023,31.5,832,504591,21491
populated,filtered,320,2,3,1,258,36.5,17.100000001490116,45,504591,21491
populated,all,390,0,72,48,287.19999999552965,60.600000001490116,28.19999999552965,832,504591,21491
populated,filtered,390,0,3,1,261.6000000014901,38.399999998509884,16.5,45,504591,21491
populated,history,390,0,3,1,262.80000000447035,39.5,17,45,504591,21491
populated,filtered,390,1,3,1,263.70000000298023,39.399999998509884,17.299999997019768,45,504591,21491
populated,history,390,1,3,1,265.1000000014901,39.80000000447035,16.100000001490116,45,504591,21491
populated,all,390,1,72,48,290.5,65.60000000149012,32.69999999552965,832,504591,21491
populated,history,390,2,3,1,257.5,36.600000001490116,15.5,45,504591,21491
populated,all,390,2,72,48,285.79999999701977,62.79999999701977,30.799999997019768,832,504591,21491
populated,filtered,390,2,3,1,265,40.80000000447035,16.200000002980232,45,504591,21491
populated,all,1280,0,72,48,283.69999999552965,60.899999998509884,28.69999999552965,832,504591,21491
populated,filtered,1280,0,3,1,257.6000000014901,37.29999999701977,17.399999998509884,45,504591,21491
populated,history,1280,0,3,1,263.79999999701977,40.5,17.19999999552965,45,504591,21491
populated,filtered,1280,1,3,1,258.90000000596046,37.400000005960464,17.600000001490116,45,504591,21491
populated,history,1280,1,3,1,264,42.5,17.899999998509884,45,504591,21491
populated,all,1280,1,72,48,293.30000000447035,65.80000000447035,33.400000005960464,832,504591,21491
populated,history,1280,2,3,1,256.90000000596046,35.100000001490116,16,45,504591,21491
populated,all,1280,2,72,48,284.70000000298023,63,29.700000002980232,832,504591,21491
populated,filtered,1280,2,3,1,264.59999999403954,39.099999994039536,16.899999998509884,45,504591,21491
restricted-final,all,390,0,72,48,241.39999999850988,34,15.799999997019768,760,426714,18384
restricted-final,filtered,390,0,3,1,233.20000000298023,28.799999997019768,10.399999998509884,42,426714,18384
restricted-final,history,390,0,3,1,237.10000000149012,26,13.699999995529652,42,426714,18384
restricted-final,filtered,390,1,3,1,238.89999999850988,27.899999998509884,13.899999998509884,42,426714,18384
restricted-final,history,390,1,3,1,231.79999999701977,24.299999997019768,9.5,42,426714,18384
restricted-final,all,390,1,72,48,244,36.19999999552965,17.100000001490116,760,426714,18384
restricted-final,history,390,2,3,1,239.60000000149012,29.100000001490116,15.800000004470348,42,426714,18384
restricted-final,all,390,2,72,48,257.1000000014901,43.5,22.100000001490116,760,426714,18384
restricted-final,filtered,390,2,3,1,231.30000000447035,24.30000000447035,10.600000001490116,42,426714,18384
stress,all,390,0,300,200,775.1999999955297,213.19999999552965,91.59999999403954,3416,2102034,81445
stress,filtered,390,0,3,1,702.6000000014901,144.19999999552965,34.600000001490116,45,2102034,81445
stress,history,390,0,3,1,696.5,144,33.70000000298023,45,2102034,81445
stress,filtered,390,1,3,1,687.7999999970198,141.20000000298023,37.600000001490116,45,2102034,81445
stress,history,390,1,3,1,693.2999999970198,144.89999999850988,35.5,45,2102034,81445
stress,all,390,1,300,200,770.7000000029802,211.79999999701977,87.5,3416,2102034,81445
stress,history,390,2,3,1,691.8999999985099,144.70000000298023,37.5,45,2102034,81445
stress,all,390,2,300,200,793.3999999985099,234.39999999850988,85,3416,2102034,81445
stress,filtered,390,2,3,1,688,141,33.80000000447035,45,2102034,81445
