scenario,width,repeat,cache,readyMs,fcpMs,lcpObservedMs,longTasks,longTaskMs,tbtProxyMs,apiRequests,liveRequests,listRequests,listEncodedBytes,listDecodedBytes,jsTransferBytes,jsEncodedBytes,jsRequests,cssTransferBytes,domNodes,overflow,finalCards,finalRows,pendingRequests
login,390,1,cold,1236,1220,1220,1,89,39,1,0,0,0,0,139222,138922,1,12759,32,false,0,0,0
login,390,1,warm,236,224,224,0,0,0,1,0,0,0,0,0,138922,1,0,32,false,0,0,0
login,390,2,cold,1221,1208,1208,1,85,35,1,0,0,0,0,139222,138922,1,12759,32,false,0,0,0
login,390,2,warm,256,224,224,0,0,0,1,0,0,0,0,0,138922,1,0,32,false,0,0,0
login,390,3,cold,1239,1212,1212,1,91,41,1,0,0,0,0,139222,138922,1,12759,32,false,0,0,0
login,390,3,warm,240,228,228,0,0,0,1,0,0,0,0,0,138922,1,0,32,false,0,0,0
login,390,4,cold,1233,1212,1212,1,85,35,1,0,0,0,0,139222,138922,1,12759,32,false,0,0,0
login,390,4,warm,239,224,224,0,0,0,1,0,0,0,0,0,138922,1,0,32,false,0,0,0
login,390,5,cold,1237,1208,1208,1,92,42,1,0,0,0,0,139222,138922,1,12759,32,false,0,0,0
login,390,5,warm,238,224,224,0,0,0,1,0,0,0,0,0,138922,1,0,32,false,0,0,0
populated,390,1,cold,2015,1208,1796,1,87,37,8,1,3,8169,248091,145307,143807,5,12759,281,false,12,24,0
populated,390,1,warm,868,236,640,0,0,0,8,1,3,8169,248091,0,143807,5,0,281,false,12,24,0
populated,390,2,cold,2015,1208,1800,1,87,37,8,1,3,8169,248091,145307,143807,5,12759,281,false,12,24,0
populated,390,2,warm,870,240,660,0,0,0,8,1,3,8169,248091,0,143807,5,0,281,false,12,24,0
populated,390,3,cold,2016,1208,1800,1,87,37,8,1,3,8169,248091,145307,143807,5,12759,281,false,12,24,0
populated,390,3,warm,870,240,660,0,0,0,8,1,3,8169,248091,0,143807,5,0,281,false,12,24,0
populated,390,4,cold,1957,1216,1760,1,87,37,8,1,3,8169,248091,145307,143807,5,12759,281,false,12,24,0
populated,390,4,warm,870,240,664,0,0,0,8,1,3,8169,248091,0,143807,5,0,281,false,12,24,0
populated,390,5,cold,2004,1208,1804,1,90,40,8,1,3,8169,248091,145307,143807,5,12759,281,false,12,24,0
populated,390,5,warm,869,240,660,0,0,0,8,1,3,8169,248091,0,143807,5,0,281,false,12,24,0
long,390,1,cold,2043,1228,1780,1,88,38,8,1,3,14571,503583,145307,143807,5,12759,887,false,72,48,0
long,390,1,warm,1103,272,732,0,0,0,14,1,9,43713,1510749,0,143807,5,0,887,false,72,48,0
long,390,2,cold,2143,1224,1864,1,87,37,14,1,9,43713,1510749,145307,143807,5,12759,887,false,72,48,0
long,390,2,warm,1006,244,704,0,0,0,14,1,9,43713,1510749,0,143807,5,0,887,false,72,48,0
long,390,3,cold,2185,1212,1872,1,86,36,14,1,9,43713,1510749,145307,143807,5,12759,887,false,72,48,0
long,390,3,warm,1037,260,724,0,0,0,14,1,9,43713,1510749,0,143807,5,0,887,false,72,48,0
long,390,4,cold,2160,1200,1840,1,87,37,14,1,9,43713,1510749,145307,143807,5,12759,887,false,72,48,0
long,390,4,warm,1038,240,732,0,0,0,14,1,9,43713,1510749,0,143807,5,0,887,false,72,48,0
long,390,5,cold,2168,1204,1860,1,85,35,14,1,9,43713,1510749,145307,143807,5,12759,887,false,72,48,0
long,390,5,warm,1003,240,700,0,0,0,14,1,9,43713,1510749,0,143807,5,0,887,false,72,48,0
history,390,1,cold,2116,1220,1816,2,138,38,14,1,9,43713,1510749,145307,143807,5,12759,100,false,3,1,0
history,390,1,warm,969,240,660,0,0,0,14,1,9,43713,1510749,0,143807,5,0,100,false,3,1,0
history,390,2,cold,2012,1208,1784,1,91,41,8,1,3,14571,503583,145307,143807,5,12759,100,false,3,1,0
