scenario,width,repeat,cache,readyMs,fcpMs,lcpObservedMs,longTasks,longTaskMs,tbtProxyMs,apiRequests,liveRequests,listRequests,listEncodedBytes,listDecodedBytes,jsTransferBytes,cssTransferBytes,domNodes,overflow,finalCards,finalRows,pendingRequests
login,390,1,cold,1731,1704,1704,1,150,100,1,0,0,0,0,222906,14606,32,false,0,0,0
login,390,1,warm,253,240,240,0,0,0,1,0,0,0,0,0,0,32,false,0,0,0
login,390,2,cold,1736,1704,1704,1,149,99,1,0,0,0,0,222906,14606,32,false,0,0,0
login,390,2,warm,256,236,236,0,0,0,1,0,0,0,0,0,0,32,false,0,0,0
login,390,3,cold,1716,1704,1704,1,145,95,1,0,0,0,0,222906,14606,32,false,0,0,0
login,390,3,warm,238,224,224,0,0,0,1,0,0,0,0,0,0,32,false,0,0,0
login,390,4,cold,1719,1704,1704,1,143,93,1,0,0,0,0,222906,14606,32,false,0,0,0
login,390,4,warm,256,244,244,0,0,0,1,0,0,0,0,0,0,32,false,0,0,0
login,390,5,cold,1738,1692,1692,1,147,97,1,0,0,0,0,222906,14606,32,false,0,0,0
login,390,5,warm,255,240,240,0,0,0,1,0,0,0,0,0,0,32,false,0,0,0
populated,390,1,cold,2370,1708,2152,1,146,96,8,1,3,8169,248091,222906,14606,277,false,12,24,0
populated,390,1,warm,871,244,656,0,0,0,8,1,3,8169,248091,0,0,277,false,12,24,0
populated,390,2,cold,2281,1704,2136,1,147,97,6,1,1,2723,82697,222906,14606,277,false,12,24,0
populated,390,2,warm,855,248,644,0,0,0,8,1,3,8169,248091,0,0,277,false,12,24,0
populated,390,3,cold,2371,1708,2164,1,145,95,8,1,3,8169,248091,222906,14606,277,false,12,24,0
populated,390,3,warm,870,264,664,0,0,0,8,1,3,8169,248091,0,0,277,false,12,24,0
populated,390,4,cold,2413,1740,2208,2,226,126,8,1,3,8169,248091,222906,14606,277,false,12,24,0
populated,390,4,warm,853,244,644,0,0,0,8,1,3,8169,248091,0,0,277,false,12,24,0
populated,390,5,cold,2315,1720,2116,1,144,94,8,1,3,8169,248091,222906,14606,277,false,12,24,0
populated,390,5,warm,837,240,628,0,0,0,8,1,3,8169,248091,0,0,277,false,12,24,0
long,390,1,cold,2502,1704,2212,1,148,98,14,1,9,43713,1510749,222906,14606,883,false,72,48,0
long,390,1,warm,1004,240,684,0,0,0,14,1,9,43713,1510749,0,0,883,false,72,48,0
long,390,2,cold,2524,1704,2204,1,148,98,14,1,9,43713,1510749,222906,14606,883,false,72,48,0
long,390,2,warm,1038,248,716,0,0,0,14,1,9,43713,1510749,0,0,883,false,72,48,0
long,390,3,cold,2500,1692,2192,1,142,92,14,1,9,43713,1510749,222906,14606,883,false,72,48,0
long,390,3,warm,1006,252,696,0,0,0,14,1,9,43713,1510749,0,0,883,false,72,48,0
long,390,4,cold,2419,1692,2152,1,143,93,8,1,3,14571,503583,222906,14606,883,false,72,48,0
long,390,4,warm,1038,244,716,0,0,0,14,1,9,43713,1510749,0,0,883,false,72,48,0
long,390,5,cold,2467,1720,2172,1,147,97,14,1,9,43713,1510749,222906,14606,883,false,72,48,0
long,390,5,warm,1021,248,704,0,0,0,14,1,9,43713,1510749,0,0,883,false,72,48,0
history,390,1,cold,2461,1700,2144,1,148,98,14,1,9,43713,1510749,222906,14606,96,false,3,1,0
history,390,1,warm,954,244,648,0,0,0,14,1,9,43713,1510749,0,0,96,false,3,1,0
