route,width,repeat,phase,listStarts,listCompleted,listAborted,tableStarts,tableCompleted,tableAborted,roundStarts,authStarts,streamStarts
direct,320,1,initial,3,3,0,1,1,0,1,1,1
direct,320,1,open,6,3,3,1,1,0,1,0,0
direct,320,1,match,3,3,0,1,1,0,0,0,0
direct,320,1,held-match,3,0,3,1,0,1,0,0,0
direct,320,1,error,0,0,0,0,0,0,0,0,1
direct,320,1,reconnect,3,3,0,1,1,0,1,0,0
direct,320,1,resume,3,3,0,1,1,0,1,1,0
direct,320,1,account-held,3,0,3,1,0,1,0,0,0
direct,320,1,account,9,3,6,2,2,0,2,1,1
direct,320,2,initial,3,3,0,1,1,0,1,1,1
direct,320,2,open,6,3,3,1,1,0,1,0,0
direct,320,2,match,3,3,0,1,1,0,0,0,0
direct,320,2,held-match,3,0,3,1,0,1,0,0,0
direct,320,2,error,0,0,0,0,0,0,0,0,1
direct,320,2,reconnect,3,3,0,1,1,0,1,0,0
direct,320,2,resume,3,3,0,1,1,0,1,1,0
direct,320,2,account-held,3,0,3,1,0,1,0,0,0
direct,320,2,account,9,3,6,2,2,0,2,1,1
direct-history,320,1,initial,3,3,0,1,1,0,1,1,1
direct-history,320,1,open,6,3,3,1,1,0,1,0,0
direct-history,320,1,match,3,3,0,1,1,0,0,0,0
direct-history,320,1,held-match,3,0,3,1,0,1,0,0,0
direct-history,320,1,error,0,0,0,0,0,0,0,0,1
direct-history,320,1,reconnect,3,3,0,1,1,0,1,0,0
direct-history,320,1,resume,3,3,0,1,1,0,1,1,0
direct-history,320,1,account-held,3,0,3,1,0,1,0,0,0
direct-history,320,1,account,9,3,6,2,2,0,2,1,1
direct-history,320,2,initial,3,3,0,1,1,0,1,1,1
direct-history,320,2,open,6,3,3,1,1,0,1,0,0
direct-history,320,2,match,3,3,0,1,1,0,0,0,0
direct-history,320,2,held-match,3,0,3,1,0,1,0,0,0
direct-history,320,2,error,0,0,0,0,0,0,0,0,1
direct-history,320,2,reconnect,3,3,0,1,1,0,1,0,0
direct-history,320,2,resume,3,3,0,1,1,0,1,1,0
direct-history,320,2,account-held,3,0,3,1,0,1,0,0,0
direct-history,320,2,account,9,3,6,2,2,0,2,1,1
history,320,1,initial,3,3,0,1,1,0,1,1,1
history,320,1,open,9,3,6,2,1,1,2,0,0
history,320,1,match,6,3,3,2,1,1,0,0,0
history,320,1,held-match,6,0,6,2,0,2,0,0,0
history,320,1,error,0,0,0,0,0,0,0,0,1
history,320,1,reconnect,3,3,0,2,1,1,2,0,0
history,320,1,resume,3,3,0,1,1,0,1,1,0
history,320,1,account-held,6,0,6,2,0,2,0,0,0
history,320,1,account,3,3,0,3,1,2,3,1,1
history,320,2,initial,3,3,0,1,1,0,1,1,1
history,320,2,open,9,3,6,2,1,1,2,0,0
history,320,2,match,6,3,3,2,1,1,0,0,0
history,320,2,held-match,6,0,6,2,0,2,0,0,0
history,320,2,error,0,0,0,0,0,0,0,0,1
history,320,2,reconnect,3,3,0,2,1,1,2,0,0
history,320,2,resume,3,3,0,1,1,0,1,1,0
history,320,2,account-held,6,0,6,2,0,2,0,0,0
history,320,2,account,3,3,0,3,1,2,3,1,1
global,320,1,initial,3,3,0,1,1,0,1,1,1
global,320,1,open,9,3,6,2,1,1,2,0,0
global,320,1,match,6,3,3,2,1,1,0,0,0
global,320,1,held-match,6,0,6,2,0,2,0,0,0
global,320,1,error,0,0,0,0,0,0,0,0,1
global,320,1,reconnect,3,3,0,2,1,1,2,0,0
global,320,1,resume,3,3,0,1,1,0,1,1,0
global,320,1,account-held,6,0,6,2,0,2,0,0,0
global,320,1,account,12,3,9,3,2,1,3,1,1
global,320,2,initial,3,3,0,1,1,0,1,1,1
global,320,2,open,9,3,6,2,1,1,2,0,0
global,320,2,match,6,3,3,2,1,1,0,0,0
global,320,2,held-match,6,0,6,2,0,2,0,0,0
global,320,2,error,0,0,0,0,0,0,0,0,1
global,320,2,reconnect,3,3,0,2,1,1,2,0,0
global,320,2,resume,3,3,0,1,1,0,1,1,0
global,320,2,account-held,6,0,6,2,0,2,0,0,0
global,320,2,account,12,3,9,3,2,1,3,1,1
direct,390,1,initial,3,3,0,1,1,0,1,1,1
direct,390,1,open,6,3,3,1,1,0,1,0,0
direct,390,1,match,3,3,0,1,1,0,0,0,0
direct,390,1,held-match,3,0,3,1,0,1,0,0,0
direct,390,1,error,0,0,0,0,0,0,0,0,1
direct,390,1,reconnect,3,3,0,1,1,0,1,0,0
direct,390,1,resume,3,3,0,1,1,0,1,1,0
direct,390,1,account-held,3,0,3,1,0,1,0,0,0
direct,390,1,account,9,3,6,2,2,0,2,1,1
direct,390,2,initial,3,3,0,1,1,0,1,1,1
direct,390,2,open,6,3,3,1,1,0,1,0,0
direct,390,2,match,3,3,0,1,1,0,0,0,0
direct,390,2,held-match,3,0,3,1,0,1,0,0,0
direct,390,2,error,0,0,0,0,0,0,0,0,1
direct,390,2,reconnect,3,3,0,1,1,0,1,0,0
direct,390,2,resume,3,3,0,1,1,0,1,1,0
direct,390,2,account-held,3,0,3,1,0,1,0,0,0
direct,390,2,account,9,3,6,2,2,0,2,1,1
direct-history,390,1,initial,3,3,0,1,1,0,1,1,1
direct-history,390,1,open,6,3,3,1,1,0,1,0,0
direct-history,390,1,match,3,3,0,1,1,0,0,0,0
direct-history,390,1,held-match,3,0,3,1,0,1,0,0,0
direct-history,390,1,error,0,0,0,0,0,0,0,0,1
direct-history,390,1,reconnect,3,3,0,1,1,0,1,0,0
direct-history,390,1,resume,3,3,0,1,1,0,1,1,0
direct-history,390,1,account-held,3,0,3,1,0,1,0,0,0
direct-history,390,1,account,9,3,6,2,2,0,2,1,1
direct-history,390,2,initial,3,3,0,1,1,0,1,1,1
direct-history,390,2,open,6,3,3,1,1,0,1,0,0
direct-history,390,2,match,3,3,0,1,1,0,0,0,0
direct-history,390,2,held-match,3,0,3,1,0,1,0,0,0
direct-history,390,2,error,0,0,0,0,0,0,0,0,1
direct-history,390,2,reconnect,3,3,0,1,1,0,1,0,0
direct-history,390,2,resume,3,3,0,1,1,0,1,1,0
direct-history,390,2,account-held,3,0,3,1,0,1,0,0,0
direct-history,390,2,account,9,3,6,2,2,0,2,1,1
history,390,1,initial,3,3,0,1,1,0,1,1,1
history,390,1,open,9,3,6,2,1,1,2,0,0
history,390,1,match,6,3,3,2,1,1,0,0,0
history,390,1,held-match,6,0,6,2,0,2,0,0,0
history,390,1,error,0,0,0,0,0,0,0,0,1
history,390,1,reconnect,3,3,0,2,1,1,2,0,0
history,390,1,resume,3,3,0,1,1,0,1,1,0
history,390,1,account-held,6,0,6,2,0,2,0,0,0
history,390,1,account,3,3,0,3,1,2,3,1,1
history,390,2,initial,3,3,0,1,1,0,1,1,1
history,390,2,open,9,3,6,2,1,1,2,0,0
history,390,2,match,6,3,3,2,1,1,0,0,0
history,390,2,held-match,6,0,6,2,0,2,0,0,0
history,390,2,error,0,0,0,0,0,0,0,0,1
history,390,2,reconnect,3,3,0,2,1,1,2,0,0
history,390,2,resume,3,3,0,1,1,0,1,1,0
history,390,2,account-held,6,0,6,2,0,2,0,0,0
